name,address,rating,review_count,website,maps_url,status,lead_score
Meridian Dental Center,"2291 N Meridian St, Indianapolis, IN 46208, USA",4.5,905,http://www.meridiandentistry.com/,https://maps.google.com/?cid=5050317673004879576&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,10.0
West Side Auto Care,"7501 W 10th St, Indianapolis, IN 46214, USA",4.5,165,,https://maps.google.com/?cid=16560131631618485906&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,10.0
Everyday Dental,"7764 Colerain Ave, Cincinnati, OH 45239, USA",4.5,3192,https://everydaydentalcare.com/,https://maps.google.com/?cid=6472244569043869743&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,10.0
Jay Barker's Auto Repair Service,"4350 Taylor Blvd, Louisville, KY 40215, USA",4.5,172,https://www.jaybarkerautorepair.com/,https://maps.google.com/?cid=15500636839899344954&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,10.0
"Gates Automotive Service, Inc.","1546 Bardstown Rd, Louisville, KY 40205, USA",4.5,114,http://www.gatesautomotiveservice.com/,https://maps.google.com/?cid=10033754329624738178&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,10.0
Rockford Lane Automotive,"4757 Rockford Plaza, Louisville, KY 40216, USA",4.5,270,,https://maps.google.com/?cid=5685064532802577015&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,10.0
Overley Automotive,"3800 Fern Valley Rd, Louisville, KY 40219, USA",4.5,259,https://overleyautomotive.com/,https://maps.google.com/?cid=813885956228181400&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,10.0
First Class Auto Services LLC,"2300 Hikes Ln, Louisville, KY 40218, USA",4.5,231,https://firstclassautoservices.com/,https://maps.google.com/?cid=11659768552017566802&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,10.0
24/7 Dental - Emergency Dental Care,"7301 W 10th St, Indianapolis, IN 46214, USA",4.6,1879,https://247dental.com/locations/indianapolis-in-w-10th/,https://maps.google.com/?cid=14155505155857299969&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,8.0
My Indy Dental Center,"3804 N Delaware St, Indianapolis, IN 46205, USA",4.6,341,https://myindydental.com/,https://maps.google.com/?cid=7952520259463341109&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,8.0
Magnolia Dental,"3801 S Hurstbourne Pkwy, Louisville, KY 40299, USA",4.6,1555,https://magnoliadentalky.com/,https://maps.google.com/?cid=1699620944902906010&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,8.0
DentalWorks Louisville,"1815 Bardstown Rd, Louisville, KY 40205, USA",4.6,705,https://www.dentalworks.com/offices/kentucky/louisville/,https://maps.google.com/?cid=11775676236746604424&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,8.0
Advanced Dental Center - Preston Highway,"8517 Preston Hwy, Louisville, KY 40219, USA",4.6,1097,https://kyadc.com/preston-highway/?utm_campaign=gmb,https://maps.google.com/?cid=3253744694312425799&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,8.0
Northeast Auto Service,"5155 E 65th St, Indianapolis, IN 46220, USA",4.6,217,https://www.autorepairindy.com/,https://maps.google.com/?cid=910829370616056231&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,8.0
